ncb,valid_from,valid_to,key_share
BE,2014-01,2025-12,0.036695
BG,2026-01,,0.011823
DE,2014-01,2025-12,0.266301
EE,2014-01,2025-12,0.00298
IE,2014-01,2025-12,0.021782
GR,2014-01,2025-12,0.022593
ES,2014-01,2025-12,0.118249
FR,2014-01,2025-12,0.200047
HR,2014-01,2025-12,0.00774
IT,2014-01,2025-12,0.160201
CY,2014-01,2025-12,0.002204
LV,2014-01,2025-12,0.003876
LT,2014-01,2025-12,0.005902
LU,2014-01,2025-12,0.00364
MT,2014-01,2025-12,0.001288
NL,2014-01,2025-12,0.059077
AT,2014-01,2025-12,0.029565
PT,2014-01,2025-12,0.023254
SI,2014-01,2025-12,0.004942
SK,2014-01,2025-12,0.0115
FI,2014-01,2025-12,0.018165
BE,2026-01,,0.036261
DE,2026-01,,0.263152
EE,2026-01,,0.002945
IE,2026-01,,0.021525
GR,2026-01,,0.022326
ES,2026-01,,0.116851
FR,2026-01,,0.197682
HR,2026-01,,0.007649
IT,2026-01,,0.158307
CY,2026-01,,0.002178
LV,2026-01,,0.00383
LT,2026-01,,0.005832
LU,2026-01,,0.003597
MT,2026-01,,0.001273
NL,2026-01,,0.058378
AT,2026-01,,0.029216
PT,2026-01,,0.022979
SI,2026-01,,0.004884
SK,2026-01,,0.011364
FI,2026-01,,0.01795
