id,url,pid,ncb,role,author,date
C00001,http://www.bis.org/review/r210304g.htm,15,ES,ncb_head,Pablo Hernández de Cos,2021-03-03 00:00:00
C00002,http://www.bis.org/review/r210413a.htm,17,ES,ncb_head,Pablo Hernández de Cos,2021-04-12 00:00:00
C00003,https://www.bis.org/review/r240828i.htm,3,FI,ncb_head,Olli Rehn,2024-08-19 00:00:00
C00004,https://www.bis.org/review/r180724j.htm,2,FR,ncb_head,François Villeroy de Galhau,2018-05-14 00:00:00
C00005,http://www.bis.org/review/r230215d.htm,24,ES,ncb_head,Pablo Hernández de Cos,2023-02-15 00:00:00
C00006,https://www.bis.org/review/r231204j.htm,10,IT,ncb_head,Fabio Panetta,2023-11-30 00:00:00
C00007,https://www.bis.org/review/r160301f.htm,17,DE,ncb_head,Jens Weidmann,2016-02-24 00:00:00
C00008,https://www.bis.org/review/r180712a.htm,28,DE,ncb_head,Jens Weidmann,2018-06-21 00:00:00
C00009,https://www.bis.org/review/r240503a.htm,40,ES,ncb_head,Pablo Hernández de Cos,2024-05-01 00:00:00
C00010,http://www.bis.org/review/r221021c.htm,18,ES,ncb_head,Pablo Hernández de Cos,2022-10-04 00:00:00
C00011,https://www.bis.org/review/r241113b.htm,3,FI,ncb_head,Olli Rehn,2024-11-12 00:00:00
C00012,http://www.bis.org/review/r230308g.htm,29,EE,ncb_head,Madis Müller,2023-03-03 00:00:00
C00013,http://www.bis.org/review/r221031e.htm,3,GR,ncb_head,Yannis Stournaras,2022-10-21 00:00:00
C00014,https://www.bis.org/review/r190502g.htm,2,FI,ncb_head,Olli Rehn,2019-04-17 00:00:00
C00015,https://www.bis.org/review/r241024b.htm,7,FR,ncb_head,François Villeroy de Galhau,2024-10-22 00:00:00
C00016,https://www.bis.org/review/r170621b.htm,13,DE,ncb_head,Jens Weidmann,2017-06-14 00:00:00
C00017,https://www.bis.org/review/r260422i.htm,7,FI,ncb_head,Olli Rehn,2026-04-16 00:00:00
C00018,https://www.bis.org/review/r180822c.htm,6,DE,ncb_head,Jens Weidmann,2018-08-20 00:00:00
C00019,https://www.bis.org/review/r250213a.htm,22,DE,ncb_head,Joachim Nagel,2025-02-12 00:00:00
C00020,https://www.bis.org/review/r160707b.htm,9,DE,ncb_head,Jens Weidmann,2016-07-01 00:00:00
C00021,https://www.bis.org/review/r250319a.htm,13,ES,ncb_head,Jose Luis Escrivá,2025-03-14 00:00:00
C00022,https://www.bis.org/review/r210127a.htm,2,FR,ncb_head,François Villeroy de Galhau,2020-01-19 00:00:00
C00023,https://www.bis.org/review/r240902a.htm,21,DE,ncb_head,Joachim Nagel,2024-08-29 00:00:00
C00024,https://www.bis.org/review/r160608d.htm,19,FI,ncb_head,Erkki Liikanen,2016-05-17 00:00:00
C00025,http://www.bis.org/review/r230711b.htm,28,DE,ncb_head,Joachim Nagel,2023-06-22 00:00:00
C00026,https://www.bis.org/review/r250702a.htm,19,DE,ncb_head,Joachim Nagel,2025-06-23 00:00:00
C00027,http://www.bis.org/review/r230210b.htm,3,ES,ncb_head,Pablo Hernández de Cos,2023-02-10 00:00:00
C00028,https://www.bis.org/review/r170606e.htm,18,MT,ncb_head,Mario Vella,2017-05-24 00:00:00
C00029,https://www.bis.org/review/r250401e.htm,6,IT,ncb_head,Fabio Panetta,2025-03-31 00:00:00
C00030,https://www.bis.org/review/r160114c.htm,7,FR,ncb_head,François Villeroy de Galhau,2016-01-12 00:00:00
C00031,http://www.bis.org/review/r221125e.htm,15,DE,ncb_head,Joachim Nagel,2022-11-21 00:00:00
C00032,http://www.bis.org/review/r210503a.htm,29,ES,ncb_head,Pablo Hernández de Cos,2021-04-27 00:00:00
C00033,https://www.bis.org/review/r250226c.htm,16,DE,ncb_head,Joachim Nagel,2025-02-25 00:00:00
C00034,http://www.bis.org/review/r221118h.htm,14,DE,ncb_head,Joachim Nagel,2022-11-18 00:00:00
C00035,https://www.bis.org/review/r190117f.htm,6,SK,ncb_head,Jozef Makuch,2019-01-11 00:00:00
