ncb,hy,debt_ratio
BE,2019H1,97.6
BE,2019H2,97.6
BE,2020H1,112.0
BE,2020H2,112.0
BE,2021H1,109.2
BE,2021H2,109.2
BG,2019H1,20.0
BG,2019H2,20.0
BG,2020H1,24.5
BG,2020H2,24.5
BG,2021H1,23.9
BG,2021H2,23.9
DE,2019H1,58.9
DE,2019H2,58.9
DE,2020H1,68.0
DE,2020H2,68.0
DE,2021H1,68.6
DE,2021H2,68.6
EE,2019H1,8.5
EE,2019H2,8.5
EE,2020H1,18.5
EE,2020H2,18.5
EE,2021H1,17.6
EE,2021H2,17.6
IE,2019H1,57.0
IE,2019H2,57.0
IE,2020H1,58.4
IE,2020H2,58.4
IE,2021H1,55.4
IE,2021H2,55.4
GR,2019H1,180.6
GR,2019H2,180.6
GR,2020H1,206.3
GR,2020H2,206.3
GR,2021H1,194.5
GR,2021H2,194.5
ES,2019H1,98.2
ES,2019H2,98.2
ES,2020H1,120.4
ES,2020H2,120.4
ES,2021H1,118.3
ES,2021H2,118.3
FR,2019H1,97.4
FR,2019H2,97.4
FR,2020H1,115.0
FR,2020H2,115.0
FR,2021H1,112.8
FR,2021H2,112.8
HR,2019H1,71.0
HR,2019H2,71.0
HR,2020H1,87.0
HR,2020H2,87.0
HR,2021H1,78.4
HR,2021H2,78.4
IT,2019H1,134.1
IT,2019H2,134.1
IT,2020H1,154.9
IT,2020H2,154.9
IT,2021H1,150.3
IT,2021H2,150.3
CY,2019H1,90.4
CY,2019H2,90.4
CY,2020H1,113.5
CY,2020H2,113.5
CY,2021H1,101.0
CY,2021H2,101.0
LV,2019H1,36.5
LV,2019H2,36.5
LV,2020H1,42.0
LV,2020H2,42.0
LV,2021H1,43.6
LV,2021H2,43.6
LT,2019H1,35.8
LT,2019H2,35.8
LT,2020H1,46.3
LT,2020H2,46.3
LT,2021H1,43.7
LT,2021H2,43.7
LU,2019H1,22.4
LU,2019H2,22.4
LU,2020H1,24.5
LU,2020H2,24.5
LU,2021H1,24.5
LU,2021H2,24.5
MT,2019H1,40.7
MT,2019H2,40.7
MT,2020H1,53.3
MT,2020H2,53.3
MT,2021H1,56.3
MT,2021H2,56.3
NL,2019H1,48.5
NL,2019H2,48.5
NL,2020H1,54.7
NL,2020H2,54.7
NL,2021H1,52.4
NL,2021H2,52.4
AT,2019H1,70.6
AT,2019H2,70.6
AT,2020H1,82.9
AT,2020H2,82.9
AT,2021H1,82.3
AT,2021H2,82.3
PT,2019H1,116.6
PT,2019H2,116.6
PT,2020H1,134.9
PT,2020H2,134.9
PT,2021H1,125.5
PT,2021H2,125.5
SI,2019H1,65.4
SI,2019H2,65.4
SI,2020H1,79.6
SI,2020H2,79.6
SI,2021H1,74.5
SI,2021H2,74.5
SK,2019H1,48.0
SK,2019H2,48.0
SK,2020H1,58.9
SK,2020H2,58.9
SK,2021H1,62.2
SK,2021H2,62.2
FI,2019H1,64.9
FI,2019H2,64.9
FI,2020H1,74.8
FI,2020H2,74.8
FI,2021H1,72.4
FI,2021H2,72.4
