month,ncb,programme,holdings_eur_m
2015-03-01,AT,PSPP,1216
2015-04-01,AT,PSPP,2421
2015-05-01,AT,PSPP,3735
2015-06-01,AT,PSPP,5045
2015-07-01,AT,PSPP,6408
2015-08-01,AT,PSPP,7472
2015-09-01,AT,PSPP,8751
2015-10-01,AT,PSPP,10075
2015-11-01,AT,PSPP,11486
2015-12-01,AT,PSPP,12641
2016-01-01,AT,PSPP,13989
2016-02-01,AT,PSPP,15348
2016-03-01,AT,PSPP,16701
2016-04-01,AT,PSPP,18761
2016-05-01,AT,PSPP,20901
2016-06-01,AT,PSPP,22750
2016-07-01,AT,PSPP,24628
2016-08-01,AT,PSPP,25982
2016-09-01,AT,PSPP,27866
2016-10-01,AT,PSPP,29825
2016-11-01,AT,PSPP,31705
2016-12-01,AT,PSPP,33200
2017-01-01,AT,PSPP,35170
2017-02-01,AT,PSPP,37058
2017-03-01,AT,PSPP,39016
2017-04-01,AT,PSPP,40578
2017-05-01,AT,PSPP,42072
2017-06-01,AT,PSPP,43564
2017-07-01,AT,PSPP,45088
2017-08-01,AT,PSPP,46311
2017-09-01,AT,PSPP,47777
2017-10-01,AT,PSPP,49228
2017-11-01,AT,PSPP,50674
2017-12-01,AT,PSPP,51961
2018-01-01,AT,PSPP,52510
2018-02-01,AT,PSPP,53094
2018-03-01,AT,PSPP,53646
2018-04-01,AT,PSPP,54277
2018-05-01,AT,PSPP,54853
2018-06-01,AT,PSPP,55484
2018-07-01,AT,PSPP,56133
2018-08-01,AT,PSPP,56704
2018-09-01,AT,PSPP,57309
2018-10-01,AT,PSPP,57593
2018-11-01,AT,PSPP,57819
2018-12-01,AT,PSPP,58189
2019-01-01,AT,PSPP,58476
2019-02-01,AT,PSPP,58633
2019-03-01,AT,PSPP,58361
2019-04-01,AT,PSPP,58626
2019-05-01,AT,PSPP,58828
2019-06-01,AT,PSPP,58313
2019-07-01,AT,PSPP,58407
2019-08-01,AT,PSPP,58479
2019-09-01,AT,PSPP,58619
2019-10-01,AT,PSPP,58225
2019-11-01,AT,PSPP,58874
2019-12-01,AT,PSPP,59576
2020-01-01,AT,PSPP,60338
2020-02-01,AT,PSPP,60927
2020-03-01,AT,PSPP,61950
2020-04-01,AT,PSPP,63236
2020-05-01,AT,PSPP,64657
2020-06-01,AT,PSPP,65601
2020-07-01,AT,PSPP,64926
2020-08-01,AT,PSPP,65305
2020-09-01,AT,PSPP,66082
2020-10-01,AT,PSPP,66725
2020-11-01,AT,PSPP,67579
2020-12-01,AT,PSPP,68162
2021-01-01,AT,PSPP,68776
2021-02-01,AT,PSPP,69359
2021-03-01,AT,PSPP,69987
2021-04-01,AT,PSPP,70656
2021-05-01,AT,PSPP,71170
2021-06-01,AT,PSPP,71825
2021-07-01,AT,PSPP,72457
2021-08-01,AT,PSPP,72802
2021-09-01,AT,PSPP,70790
2021-10-01,AT,PSPP,71418
2021-11-01,AT,PSPP,71976
2021-12-01,AT,PSPP,72411
2022-01-01,AT,PSPP,73535
2022-02-01,AT,PSPP,73942
2022-03-01,AT,PSPP,74674
2022-04-01,AT,PSPP,75625
2022-05-01,AT,PSPP,76792
2022-06-01,AT,PSPP,77508
2022-07-01,AT,PSPP,78093
2022-08-01,AT,PSPP,78143
2022-09-01,AT,PSPP,76853
2022-10-01,AT,PSPP,77745
2022-11-01,AT,PSPP,74798
2022-12-01,AT,PSPP,75141
2023-01-01,AT,PSPP,75712
2023-02-01,AT,PSPP,76139
2023-03-01,AT,PSPP,76761
2023-04-01,AT,PSPP,76135
2023-05-01,AT,PSPP,76623
2023-06-01,AT,PSPP,76807
2023-07-01,AT,PSPP,73910
2023-08-01,AT,PSPP,73910
2023-09-01,AT,PSPP,73910
2023-10-01,AT,PSPP,70290
2023-11-01,AT,PSPP,70290
2023-12-01,AT,PSPP,70290
2024-01-01,AT,PSPP,70117
2024-02-01,AT,PSPP,70117
2024-03-01,AT,PSPP,70117
2024-04-01,AT,PSPP,70117
2024-05-01,AT,PSPP,70117
2024-06-01,AT,PSPP,70117
2024-07-01,AT,PSPP,68020
2024-08-01,AT,PSPP,68020
2024-09-01,AT,PSPP,67980
2024-10-01,AT,PSPP,64566
2024-11-01,AT,PSPP,64334
2024-12-01,AT,PSPP,64334
2025-01-01,AT,PSPP,64334
2025-02-01,AT,PSPP,64334
2025-03-01,AT,PSPP,64334
2025-04-01,AT,PSPP,62454
2025-05-01,AT,PSPP,62454
2025-06-01,AT,PSPP,62362
2025-07-01,AT,PSPP,62362
2025-08-01,AT,PSPP,62362
2025-09-01,AT,PSPP,62260
2025-10-01,AT,PSPP,58870
2025-11-01,AT,PSPP,58870
2025-12-01,AT,PSPP,58870
2026-01-01,AT,PSPP,58870
2026-02-01,AT,PSPP,58870
2026-03-01,AT,PSPP,55833
2026-04-01,AT,PSPP,55833
2026-05-01,AT,PSPP,55833
2026-06-01,AT,PSPP,55833
2026-07-01,AT,PSPP,55027
2026-08-01,AT,PSPP,55027
2015-03-01,BE,PSPP,1528
2015-04-01,BE,PSPP,3058
2015-05-01,BE,PSPP,4714
2015-06-01,BE,PSPP,6371
2015-07-01,BE,PSPP,8013
2015-08-01,BE,PSPP,9375
2015-09-01,BE,PSPP,11008
2015-10-01,BE,PSPP,12686
2015-11-01,BE,PSPP,14450
2015-12-01,BE,PSPP,15896
2016-01-01,BE,PSPP,17605
2016-02-01,BE,PSPP,19312
2016-03-01,BE,PSPP,21022
2016-04-01,BE,PSPP,23634
2016-05-01,BE,PSPP,26329
2016-06-01,BE,PSPP,28670
2016-07-01,BE,PSPP,31038
2016-08-01,BE,PSPP,32742
2016-09-01,BE,PSPP,35119
2016-10-01,BE,PSPP,37596
2016-11-01,BE,PSPP,39968
2016-12-01,BE,PSPP,41835
2017-01-01,BE,PSPP,44324
2017-02-01,BE,PSPP,46694
2017-03-01,BE,PSPP,49092
2017-04-01,BE,PSPP,51065
2017-05-01,BE,PSPP,52945
2017-06-01,BE,PSPP,54831
2017-07-01,BE,PSPP,56756
2017-08-01,BE,PSPP,58300
2017-09-01,BE,PSPP,60152
2017-10-01,BE,PSPP,61983
2017-11-01,BE,PSPP,63807
2017-12-01,BE,PSPP,65465
2018-01-01,BE,PSPP,66178
2018-02-01,BE,PSPP,66935
2018-03-01,BE,PSPP,67649
2018-04-01,BE,PSPP,68450
2018-05-01,BE,PSPP,69173
2018-06-01,BE,PSPP,69988
2018-07-01,BE,PSPP,70814
2018-08-01,BE,PSPP,71538
2018-09-01,BE,PSPP,72268
2018-10-01,BE,PSPP,72618
2018-11-01,BE,PSPP,72903
2018-12-01,BE,PSPP,73367
2019-01-01,BE,PSPP,73644
2019-02-01,BE,PSPP,73795
2019-03-01,BE,PSPP,73211
2019-04-01,BE,PSPP,73420
2019-05-01,BE,PSPP,73606
2019-06-01,BE,PSPP,73704
2019-07-01,BE,PSPP,73936
2019-08-01,BE,PSPP,73990
2019-09-01,BE,PSPP,72804
2019-10-01,BE,PSPP,73158
2019-11-01,BE,PSPP,73888
2019-12-01,BE,PSPP,74748
2020-01-01,BE,PSPP,75708
2020-02-01,BE,PSPP,76414
2020-03-01,BE,PSPP,78378
2020-04-01,BE,PSPP,80365
2020-05-01,BE,PSPP,82285
2020-06-01,BE,PSPP,83991
2020-07-01,BE,PSPP,85072
2020-08-01,BE,PSPP,85512
2020-09-01,BE,PSPP,84097
2020-10-01,BE,PSPP,84992
2020-11-01,BE,PSPP,85868
2020-12-01,BE,PSPP,86393
2021-01-01,BE,PSPP,87046
2021-02-01,BE,PSPP,87629
2021-03-01,BE,PSPP,88298
2021-04-01,BE,PSPP,89129
2021-05-01,BE,PSPP,89680
2021-06-01,BE,PSPP,90378
2021-07-01,BE,PSPP,91166
2021-08-01,BE,PSPP,91546
2021-09-01,BE,PSPP,89264
2021-10-01,BE,PSPP,89947
2021-11-01,BE,PSPP,90541
2021-12-01,BE,PSPP,91028
2022-01-01,BE,PSPP,92164
2022-02-01,BE,PSPP,92605
2022-03-01,BE,PSPP,90761
2022-04-01,BE,PSPP,92911
2022-05-01,BE,PSPP,94133
2022-06-01,BE,PSPP,94972
2022-07-01,BE,PSPP,95527
2022-08-01,BE,PSPP,95600
2022-09-01,BE,PSPP,92987
2022-10-01,BE,PSPP,93772
2022-11-01,BE,PSPP,94060
2022-12-01,BE,PSPP,94347
2023-01-01,BE,PSPP,94731
2023-02-01,BE,PSPP,95006
2023-03-01,BE,PSPP,95457
2023-04-01,BE,PSPP,95682
2023-05-01,BE,PSPP,96032
2023-06-01,BE,PSPP,93112
2023-07-01,BE,PSPP,93112
2023-08-01,BE,PSPP,93112
2023-09-01,BE,PSPP,93112
2023-10-01,BE,PSPP,90790
2023-11-01,BE,PSPP,90790
2023-12-01,BE,PSPP,90790
2024-01-01,BE,PSPP,90790
2024-02-01,BE,PSPP,90790
2024-03-01,BE,PSPP,90790
2024-04-01,BE,PSPP,90790
2024-05-01,BE,PSPP,90790
2024-06-01,BE,PSPP,86585
2024-07-01,BE,PSPP,86585
2024-08-01,BE,PSPP,86585
2024-09-01,BE,PSPP,86585
2024-10-01,BE,PSPP,83748
2024-11-01,BE,PSPP,83748
2024-12-01,BE,PSPP,83722
2025-01-01,BE,PSPP,83722
2025-02-01,BE,PSPP,83722
2025-03-01,BE,PSPP,83722
2025-04-01,BE,PSPP,83722
2025-05-01,BE,PSPP,83722
2025-06-01,BE,PSPP,77885
2025-07-01,BE,PSPP,77885
2025-08-01,BE,PSPP,77885
2025-09-01,BE,PSPP,77885
2025-10-01,BE,PSPP,77885
2025-11-01,BE,PSPP,77885
2025-12-01,BE,PSPP,77885
2026-01-01,BE,PSPP,77885
2026-02-01,BE,PSPP,77885
2026-03-01,BE,PSPP,74948
2026-04-01,BE,PSPP,74948
2026-05-01,BE,PSPP,74901
2026-06-01,BE,PSPP,69900
2026-07-01,BE,PSPP,69900
2026-08-01,BE,PSPP,69900
2015-03-01,CY,PSPP,0
2015-04-01,CY,PSPP,0
2015-05-01,CY,PSPP,0
2015-06-01,CY,PSPP,0
2015-07-01,CY,PSPP,98
2015-08-01,CY,PSPP,98
2015-09-01,CY,PSPP,98
2015-10-01,CY,PSPP,188
2015-11-01,CY,PSPP,285
2015-12-01,CY,PSPP,285
2016-01-01,CY,PSPP,285
2016-02-01,CY,PSPP,285
2016-03-01,CY,PSPP,269
2016-04-01,CY,PSPP,269
2016-05-01,CY,PSPP,269
2016-06-01,CY,PSPP,269
2016-07-01,CY,PSPP,269
2016-08-01,CY,PSPP,269
2016-09-01,CY,PSPP,248
2016-10-01,CY,PSPP,248
2016-11-01,CY,PSPP,248
2016-12-01,CY,PSPP,248
2017-01-01,CY,PSPP,248
