month,ncb,programme,wam_years
2015-03-01,AT,PSPP,7.78
2015-03-01,BE,PSPP,8.78
2015-03-01,CY,PSPP,0.0
2015-03-01,DE,PSPP,8.11
2015-03-01,EE,PSPP,0.0
2015-03-01,ES,PSPP,11.65
2015-03-01,FI,PSPP,7.24
2015-03-01,FR,PSPP,8.2
2015-03-01,IE,PSPP,9.42
2015-03-01,IT,PSPP,9.06
2015-03-01,LT,PSPP,6.44
2015-03-01,LU,PSPP,6.62
2015-03-01,LV,PSPP,6.42
2015-03-01,MT,PSPP,10.37
2015-03-01,NL,PSPP,6.69
2015-03-01,PT,PSPP,10.95
2015-03-01,SI,PSPP,6.31
2015-03-01,SK,PSPP,9.48
2015-04-01,AT,PSPP,7.98
2015-04-01,BE,PSPP,9.09
2015-04-01,CY,PSPP,0.0
2015-04-01,DE,PSPP,7.9
2015-04-01,EE,PSPP,0.0
2015-04-01,ES,PSPP,9.72
2015-04-01,FI,PSPP,7.14
2015-04-01,FR,PSPP,7.83
2015-04-01,IE,PSPP,9.13
2015-04-01,IT,PSPP,8.4
2015-04-01,LT,PSPP,5.22
2015-04-01,LU,PSPP,6.87
2015-04-01,LV,PSPP,5.93
2015-04-01,MT,PSPP,8.47
2015-04-01,NL,PSPP,6.96
2015-04-01,PT,PSPP,10.76
2015-04-01,SI,PSPP,7.92
2015-04-01,SK,PSPP,9.26
2015-05-01,AT,PSPP,7.83
2015-05-01,BE,PSPP,9.12
2015-05-01,CY,PSPP,0.0
2015-05-01,DE,PSPP,7.1
2015-05-01,EE,PSPP,0.0
2015-05-01,ES,PSPP,9.7
2015-05-01,FI,PSPP,7.15
2015-05-01,FR,PSPP,7.81
2015-05-01,IE,PSPP,9.6
2015-05-01,IT,PSPP,8.67
2015-05-01,LT,PSPP,6.1
2015-05-01,LU,PSPP,6.7
2015-05-01,LV,PSPP,6.29
2015-05-01,MT,PSPP,11.05
2015-05-01,NL,PSPP,6.84
2015-05-01,PT,PSPP,10.83
2015-05-01,SI,PSPP,7.49
2015-05-01,SK,PSPP,9.28
2015-06-01,AT,PSPP,7.73
2015-06-01,BE,PSPP,9.08
2015-06-01,CY,PSPP,0.0
2015-06-01,DE,PSPP,6.86
2015-06-01,EE,PSPP,3.04
