month,country,maturity_years,yield_pct
2014-01-01,AT,10.0,2.1311
2014-02-01,AT,10.0,1.952
2014-03-01,AT,10.0,1.8675
2014-04-01,AT,10.0,1.7683
2014-05-01,AT,10.0,1.6199
2014-06-01,AT,10.0,1.6506
2014-07-01,AT,10.0,1.4656
2014-08-01,AT,10.0,1.2798
2014-09-01,AT,10.0,1.221
2014-10-01,AT,10.0,1.1022
2014-11-01,AT,10.0,0.9762
2014-12-01,AT,10.0,0.8133
2015-01-01,AT,10.0,0.5434
2015-02-01,AT,10.0,0.4403
2015-03-01,AT,10.0,0.3736
2015-04-01,AT,10.0,0.2911
2015-05-01,AT,10.0,0.7255
2015-06-01,AT,10.0,1.0638
2015-07-01,AT,10.0,1.0841
2015-08-01,AT,10.0,0.9598
2015-09-01,AT,10.0,0.9706
2015-10-01,AT,10.0,0.8297
2015-11-01,AT,10.0,0.8194
2015-12-01,AT,10.0,0.8632
2016-01-01,AT,10.0,0.7672
2016-02-01,AT,10.0,0.526
2016-03-01,AT,10.0,0.4572
2016-04-01,AT,10.0,0.3796
2016-05-01,AT,10.0,0.3666
2016-06-01,AT,10.0,0.3277
2016-07-01,AT,10.0,0.1583
2016-08-01,AT,10.0,0.1068
2016-09-01,AT,10.0,0.1484
2016-10-01,AT,10.0,0.2407
2016-11-01,AT,10.0,0.4916
2016-12-01,AT,10.0,0.5345
2017-01-01,AT,10.0,0.5705
2017-02-01,AT,10.0,0.5899
2017-03-01,AT,10.0,0.5924
2017-04-01,AT,10.0,0.4903
2017-05-01,AT,10.0,0.6517
2017-06-01,AT,10.0,0.5547
2017-07-01,AT,10.0,0.7292
2017-08-01,AT,10.0,0.6062
2017-09-01,AT,10.0,0.5911
2017-10-01,AT,10.0,0.6062
2017-11-01,AT,10.0,0.5145
2017-12-01,AT,10.0,0.5027
2018-01-01,AT,10.0,0.6692
2018-02-01,AT,10.0,0.8357
2018-03-01,AT,10.0,0.8134
2018-04-01,AT,10.0,0.7625
2018-05-01,AT,10.0,0.7606
2018-06-01,AT,10.0,0.7064
2018-07-01,AT,10.0,0.596
2018-08-01,AT,10.0,0.5973
2018-09-01,AT,10.0,0.6654
2018-10-01,AT,10.0,0.6875
2018-11-01,AT,10.0,0.6201
2018-12-01,AT,10.0,0.5198
2019-01-01,AT,10.0,0.452
2019-02-01,AT,10.0,0.4513
2019-03-01,AT,10.0,0.3766
2019-04-01,AT,10.0,0.3143
2019-05-01,AT,10.0,0.2381
2019-06-01,AT,10.0,0.0301
2019-07-01,AT,10.0,-0.1037
2019-08-01,AT,10.0,-0.3737
2019-09-01,AT,10.0,-0.3024
2019-10-01,AT,10.0,-0.1974
2019-11-01,AT,10.0,-0.0861
2019-12-01,AT,10.0,-0.0439
2020-01-01,AT,10.0,-0.0868
2020-02-01,AT,10.0,-0.2574
2020-03-01,AT,10.0,-0.0938
2020-04-01,AT,10.0,0.0458
2020-05-01,AT,10.0,-0.0974
2020-06-01,AT,10.0,-0.1309
2020-07-01,AT,10.0,-0.2485
2020-08-01,AT,10.0,-0.28
2020-09-01,AT,10.0,-0.3174
2020-10-01,AT,10.0,-0.398
2020-11-01,AT,10.0,-0.4114
2020-12-01,AT,10.0,-0.4224
2021-01-01,AT,10.0,-0.3995
2021-02-01,AT,10.0,-0.1969
2021-03-01,AT,10.0,-0.0887
2021-04-01,AT,10.0,-0.0409
2021-05-01,AT,10.0,0.0803
2021-06-01,AT,10.0,0.0229
2021-07-01,AT,10.0,-0.1302
2021-08-01,AT,10.0,-0.225
2021-09-01,AT,10.0,-0.076
2021-10-01,AT,10.0,0.0837
2021-11-01,AT,10.0,-0.0088
2021-12-01,AT,10.0,-0.0455
2022-01-01,AT,10.0,0.1813
2022-02-01,AT,10.0,0.5391
2022-03-01,AT,10.0,0.7207
2022-04-01,AT,10.0,1.2857
2022-05-01,AT,10.0,1.5363
2022-06-01,AT,10.0,2.0707
2022-07-01,AT,10.0,1.7014
2022-08-01,AT,10.0,1.6802
2022-09-01,AT,10.0,2.4592
2022-10-01,AT,10.0,2.9161
2022-11-01,AT,10.0,2.7031
2022-12-01,AT,10.0,2.74
2023-01-01,AT,10.0,2.8076
2023-02-01,AT,10.0,3.0437
2023-03-01,AT,10.0,3.0597
2023-04-01,AT,10.0,3.0285
2023-05-01,AT,10.0,3.0317
2023-06-01,AT,10.0,3.0451
2023-07-01,AT,10.0,3.1249
2023-08-01,AT,10.0,3.1801
2023-09-01,AT,10.0,3.2942
2023-10-01,AT,10.0,3.4856
2023-11-01,AT,10.0,3.2107
2023-12-01,AT,10.0,2.6803
2024-01-01,AT,10.0,2.7596
2024-02-01,AT,10.0,2.8929
2024-03-01,AT,10.0,2.8535
2024-04-01,AT,10.0,2.9861
2024-05-01,AT,10.0,3.0161
2024-06-01,AT,10.0,3.0384
2024-07-01,AT,10.0,2.9776
2024-08-01,AT,10.0,2.7626
2024-09-01,AT,10.0,2.6895
2024-10-01,AT,10.0,2.7438
2024-11-01,AT,10.0,2.7721
2024-12-01,AT,10.0,2.6203
2025-01-01,AT,10.0,2.9085
2025-02-01,AT,10.0,2.8587
2025-03-01,AT,10.0,3.149
2025-04-01,AT,10.0,2.9821
2025-05-01,AT,10.0,2.9799
2025-06-01,AT,10.0,2.9443
2025-07-01,AT,10.0,3.0137
2025-08-01,AT,10.0,3.0253
2025-09-01,AT,10.0,3.0244
2025-10-01,AT,10.0,2.9352
2025-11-01,AT,10.0,2.9705
2025-12-01,AT,10.0,3.0974
2026-01-01,AT,10.0,3.0763
2026-02-01,AT,10.0,3.0654
2026-03-01,AT,10.0,3.2399
2026-04-01,AT,10.0,3.3033
2026-05-01,AT,10.0,3.2979
2026-06-01,AT,10.0,3.2074
2026-07-01,AT,10.0,3.3239
2026-08-01,AT,10.0,3.4125
2014-01-01,BE,10.0,2.45
2014-02-01,BE,10.0,2.4
2014-03-01,BE,10.0,2.26
2014-04-01,BE,10.0,2.16
2014-05-01,BE,10.0,1.99
2014-06-01,BE,10.0,1.83
2014-07-01,BE,10.0,1.61
2014-08-01,BE,10.0,1.4
2014-09-01,BE,10.0,1.3
2014-10-01,BE,10.0,1.18
2014-11-01,BE,10.0,1.07
2014-12-01,BE,10.0,0.91
2015-01-01,BE,10.0,0.73
2015-02-01,BE,10.0,0.63
2015-03-01,BE,10.0,0.49
2015-04-01,BE,10.0,0.42
2015-05-01,BE,10.0,0.86
2015-06-01,BE,10.0,1.21
2015-07-01,BE,10.0,1.15
2015-08-01,BE,10.0,1.0
2015-09-01,BE,10.0,1.01
2015-10-01,BE,10.0,0.85
2015-11-01,BE,10.0,0.84
2015-12-01,BE,10.0,0.89
2016-01-01,BE,10.0,0.86
2016-02-01,BE,10.0,0.72
2016-03-01,BE,10.0,0.62
2016-04-01,BE,10.0,0.55
2016-05-01,BE,10.0,0.55
2016-06-01,BE,10.0,0.43
2016-07-01,BE,10.0,0.2
2016-08-01,BE,10.0,0.15
2016-09-01,BE,10.0,0.18
2016-10-01,BE,10.0,0.27
2016-11-01,BE,10.0,0.57
2016-12-01,BE,10.0,0.61
2017-01-01,BE,10.0,0.7
2017-02-01,BE,10.0,0.87
2017-03-01,BE,10.0,0.87
2017-04-01,BE,10.0,0.78
2017-05-01,BE,10.0,0.77
2017-06-01,BE,10.0,0.62
2017-07-01,BE,10.0,0.83
2017-08-01,BE,10.0,0.73
2017-09-01,BE,10.0,0.7
2017-10-01,BE,10.0,0.69
2017-11-01,BE,10.0,0.58
2017-12-01,BE,10.0,0.53
2018-01-01,BE,10.0,0.7
2018-02-01,BE,10.0,0.97
