ncb,valid_from,valid_to,key_share,source,note
BE,2024-01,2025-12,0.036695,ECB capital subscription page (screenshot uploaded 2026-09-11),Eurosystem key 1 Jan 2024; used also for 2015-2023 (APPROXIMATION: earlier keys not collected)
BG,2026-01,,0.011823,ECB capital subscription page (screenshot),
DE,2024-01,2025-12,0.266301,ECB capital subscription page (screenshot),
EE,2024-01,2025-12,0.002980,ECB capital subscription page (screenshot),
IE,2024-01,2025-12,0.021782,ECB capital subscription page (screenshot),
GR,2024-01,2025-12,0.022593,ECB capital subscription page (screenshot),
ES,2024-01,2025-12,0.118249,ECB capital subscription page (screenshot),
FR,2024-01,2025-12,0.200047,ECB capital subscription page (screenshot),
HR,2024-01,2025-12,0.007740,ECB capital subscription page (screenshot),
IT,2024-01,2025-12,0.160201,ECB capital subscription page (screenshot),
CY,2024-01,2025-12,0.002204,ECB capital subscription page (screenshot),
LV,2024-01,2025-12,0.003876,ECB capital subscription page (screenshot),
LT,2024-01,2025-12,0.005902,ECB capital subscription page (screenshot),
LU,2024-01,2025-12,0.003640,ECB capital subscription page (screenshot),
MT,2024-01,2025-12,0.001288,ECB capital subscription page (screenshot),
NL,2024-01,2025-12,0.059077,ECB capital subscription page (screenshot),
AT,2024-01,2025-12,0.029565,ECB capital subscription page (screenshot),
PT,2024-01,2025-12,0.023254,ECB capital subscription page (screenshot),
SI,2024-01,2025-12,0.004942,ECB capital subscription page (screenshot),
SK,2024-01,2025-12,0.011500,ECB capital subscription page (screenshot),
FI,2024-01,2025-12,0.018165,ECB capital subscription page (screenshot),
BE,2026-01,,0.036261,ECB capital subscription page (screenshot),Eurosystem key 1 Jan 2026
DE,2026-01,,0.263152,ECB capital subscription page (screenshot),
EE,2026-01,,0.002945,ECB capital subscription page (screenshot),
IE,2026-01,,0.021525,ECB capital subscription page (screenshot),
GR,2026-01,,0.022326,ECB capital subscription page (screenshot),
ES,2026-01,,0.116851,ECB capital subscription page (screenshot),
FR,2026-01,,0.197682,ECB capital subscription page (screenshot),
HR,2026-01,,0.007649,ECB capital subscription page (screenshot),
IT,2026-01,,0.158307,ECB capital subscription page (screenshot),
CY,2026-01,,0.002178,ECB capital subscription page (screenshot),
LV,2026-01,,0.003830,ECB capital subscription page (screenshot),
LT,2026-01,,0.005832,ECB capital subscription page (screenshot),
LU,2026-01,,0.003597,ECB capital subscription page (screenshot),
MT,2026-01,,0.001273,ECB capital subscription page (screenshot),
NL,2026-01,,0.058378,ECB capital subscription page (screenshot),
AT,2026-01,,0.029216,ECB capital subscription page (screenshot),
PT,2026-01,,0.022979,ECB capital subscription page (screenshot),
SI,2026-01,,0.004884,ECB capital subscription page (screenshot),
SK,2026-01,,0.011364,ECB capital subscription page (screenshot),
FI,2026-01,,0.017950,ECB capital subscription page (screenshot),
