ncb,fy,gross_loss,pre_provision_result_eur_m,provisions_released_eur_m,net_result_eur_m,loss_carried_forward_eur_m,transfer_to_state_eur_m,negative_equity,publication_date,source_url,note,net_loss_technical
AT,2022,0.0,,,,,,,,https://www.oenb.at/en/Publications/Oesterreichische-Nationalbank/Annual-Report/2024/ar-2024/html-version.html,inferred: AR 2024 states 2023 and 2024 are the only negative operating results in OeNB history,0
AT,2023,1.0,,,-2210.0,-2062.0,0.0,,,https://www.forbes.at/artikel/oenb-milliardenschwund-und-aussichten-auf-verbesserung,,0
AT,2024,1.0,,,-2122.0,-4184.0,0.0,1.0,2025-03-25,https://www.oenb.at/Presse/Pressearchiv/2025/20250325-2.html,negative equity for the first time,0
AT,2025,1.0,,,-1000.0,-5200.0,0.0,,,https://www.oenb.at/Ueber-Uns/Jahresabschluss.html,operating result -1.0bn,0
BE,2021,0.0,,,,,122.5,,,https://www.brusselstimes.com/294118/national-bank-of-belgium-to-post-loss-for-first-time-in-70-years,inferred: FY2022 first loss in ~70 years; FY2021 dividend contributed 122.5m to federal budget,0
BE,2022,1.0,,,-580.0,,,,,https://www.belganewsagency.eu/national-bank-of-belgium-reports-37bn-euro-loss-for-2024,first loss in ~70 years; share price -27% on 2022-09-21,0
BE,2023,1.0,,,-3370.0,,,,,https://www.nbb.be/en/media/17037,,0
BE,2024,1.0,,,-3679.0,-553.0,,,2025-03-26,https://www.nbb.be/en/media/17037,no variable dividend; excess loss carried forward (552.9m per shareholder Q&A),0
DE,2023,1.0,,,0.0,,0.0,,,https://www.bundesbank.de,net zero only via provisions (Bundesbank press 05.03.2026; exact figures open),0
DE,2024,1.0,-19800.0,,-19200.0,,0.0,,,https://www.banque-france.fr/system/files/2026-02/BDF260_6_EN_Partage_revenu-monetaire.pdf,P&L before provisions per BdF Bulletin 260/6; record loss >19bn; net = -19200 DERIVED as cumulative -27.8bn minus FY2025 -8.6bn (confirmed -19.2bn by ECO/Banco de Portugal report coverage 2026-04-23),0
DE,2025,1.0,,,-8600.0,-27800.0,0.0,,2026-03-05,https://www.bundesbank.de,cumulative balance-sheet loss 27.8bn; sixth year without transfer; transfers zero since FY2020 by provisioning choice -> remit definition left-censored and not loss-driven for DE,0
ECB,2023,1.0,-7886.0,6620.0,-1266.0,,0.0,,2024-02-22,https://www.ecb.europa.eu/press/pr/date/2025/html/ecb.pr250220~eca25e4e21.fr.html,no distribution to NCBs,0
ECB,2024,1.0,-7944.0,0.0,-7944.0,,0.0,,2025-02-20,https://www.ecb.europa.eu/press/pr/date/2025/html/ecb.pr250220~eca25e4e21.fr.html,provision exhausted,0
ECB,2025,1.0,-1254.0,0.0,-1254.0,,0.0,,2026-02-26,https://ecb.europa.eu/press/pr/date/2026/html/ecb.pr260226~15dbe4febc.en.html,,0
ES,2023,1.0,,6612.0,0.0,,0.0,,,https://www.elconciso.es/finanzas/banco-espana-beneficios-resultado_0_2006336305.html,zero result via provisions,0
ES,2024,1.0,-7549.0,7549.0,0.0,,0.0,,2025-03-31,https://www.bde.es/f/webbe/GAP/Secciones/SalaPrensa/NotasInformativas/25/presbe2025-25.pdf,operating loss covered by provisions,0
ES,2025,1.0,,541.0,234.0,,234.0,,2026-03-30,https://www.bde.es/wbe/en/noticias-eventos/actualidad-banco-espana/notas-banco-espana/el-banco-de-espana-obtuvo-un-beneficio-de-234-millones-de-euros-en-2025.html,full transfer to Treasury; 541m provisions used mainly for FX-related latent losses -> gross_loss flag 1 is a judgment call,0
FI,2023,1.0,,,0.0,,0.0,,,https://www.suomenpankki.fi/en/news-and-topical/press-releases-and-news/releases/2025/interest-paid-on-central-bank-deposits-weakened-bank-of-finlands-operating-profit-as-in-previous-year/,profit 0.00 after provisions; operating loss amount for 2023 not yet read; transfer inferred from zero profit,0
FI,2024,1.0,-1027.0,,0.0,,0.0,,2025-03-28,https://www.suomenpankki.fi/en/news-and-topical/press-releases-and-news/releases/2025/interest-paid-on-central-bank-deposits-weakened-bank-of-finlands-operating-profit-as-in-previous-year/,general provision fully used plus 241m from real value loss provision,0
FI,2025,1.0,-215.0,,0.0,,0.0,,2026-03-13,https://www.suomenpankki.fi/en/news-and-topical/press-releases-and-news/releases/2026/bank-of-finlands-operating-profit-for-2025-again-weakened-by-interest-paid-on-central-bank-deposits/,covered by provision against real value loss,0
FR,2023,1.0,-12400.0,,0.0,,,,,https://www.banque-france.fr/system/files/2025-03/Blog-ABQ-pertes-2025.pdf,ordinary loss fully absorbed by Fund for General Risks (net figure inferred as zero; verify),0
FR,2024,1.0,-17400.0,10100.0,-7700.0,,,,2025-03-19,https://www.banque-france.fr/en/press-release/press-release-2024-annual-report-and-financial-statements,pre-tax loss 17.4bn per governor column,0
FR,2025,,,,8100.0,,,,2026-03-24,https://www.banque-france.fr/en/news/banque-de-france-2025-results,return to profit (reason not yet read),0
