id,topic,position,retrospective,coder,codebook
C00001,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00002,0,,.,model-in-conversation,PAPv2-Y4-p2
C00003,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00004,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00005,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00006,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00007,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00008,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00009,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00010,0,,.,model-in-conversation,PAPv2-Y4-p2
C00011,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00012,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00013,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00014,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00015,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00016,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00017,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00018,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00019,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00020,0,,.,model-in-conversation,PAPv2-Y4-p2
C00021,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00022,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00023,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00024,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00025,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00026,0,,.,model-in-conversation,PAPv2-Y4-p2
C00027,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00028,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00029,0,,.,model-in-conversation,PAPv2-Y4-p2
C00030,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00031,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00032,0,,.,model-in-conversation,PAPv2-Y4-p2
C00033,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00034,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00035,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00036,1,1,1,model-in-conversation,PAPv2-Y4-p2
C00037,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00038,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00039,0,,.,model-in-conversation,PAPv2-Y4-p2
C00040,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00041,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00042,0,,.,model-in-conversation,PAPv2-Y4-p2
C00043,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00044,0,,.,model-in-conversation,PAPv2-Y4-p2
C00045,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00046,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00047,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00048,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00049,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00050,0,,.,model-in-conversation,PAPv2-Y4-p2
C00051,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00052,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00053,0,,.,model-in-conversation,PAPv2-Y4-p2
C00054,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00055,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00056,0,,.,model-in-conversation,PAPv2-Y4-p2
C00057,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00058,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00059,0,,.,model-in-conversation,PAPv2-Y4-p2
C00060,0,,.,model-in-conversation,PAPv2-Y4-p2
C00061,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00062,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00063,0,,.,model-in-conversation,PAPv2-Y4-p2
C00064,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00065,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00066,0,,.,model-in-conversation,PAPv2-Y4-p2
C00067,0,,.,model-in-conversation,PAPv2-Y4-p2
C00068,1,1,1,model-in-conversation,PAPv2-Y4-p2
C00069,0,,.,model-in-conversation,PAPv2-Y4-p2
C00070,1,-1,1,model-in-conversation,PAPv2-Y4-p2
C00071,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00072,0,,.,model-in-conversation,PAPv2-Y4-p2
C00073,1,0,0,model-in-conversation,PAPv2-Y4-p2
