id,valid,topic,position,retrospective
C00001,True,True,-1.0,False
C00002,True,False,,False
C00003,True,True,0.0,False
C00004,True,True,0.0,False
C00005,True,True,0.0,False
C00006,True,True,-1.0,False
C00007,True,True,1.0,False
C00008,True,True,1.0,False
C00009,True,True,0.0,False
C00010,True,False,,False
C00011,True,True,0.0,False
C00012,True,True,1.0,False
C00013,True,True,-1.0,False
C00014,True,True,0.0,True
C00015,True,True,-1.0,False
C00016,True,True,1.0,False
C00017,True,True,0.0,False
C00018,True,True,0.0,False
C00019,True,True,0.0,False
C00020,True,False,,False
C00021,True,True,0.0,True
C00022,True,True,-1.0,False
C00023,True,True,0.0,False
C00024,True,True,0.0,False
C00025,True,True,1.0,False
C00026,True,False,,False
C00027,True,True,1.0,False
C00028,True,True,-1.0,False
C00029,True,False,,False
C00030,True,True,0.0,False
C00031,True,True,1.0,False
C00032,True,False,,False
C00033,True,True,1.0,False
C00034,True,True,1.0,False
C00035,True,True,0.0,True
C00036,True,True,1.0,True
C00037,True,True,0.0,False
C00038,True,True,1.0,False
C00039,True,False,,False
C00040,True,True,-1.0,False
C00041,True,True,-1.0,False
C00042,True,False,,False
C00043,True,True,-1.0,False
C00044,True,False,,False
C00045,True,True,-1.0,False
C00046,True,True,0.0,True
C00047,True,True,0.0,False
C00048,True,True,1.0,False
C00049,True,True,0.0,False
C00050,True,False,,False
C00051,True,True,1.0,False
C00052,True,True,1.0,False
C00053,True,False,,False
C00054,True,True,-1.0,False
C00055,True,True,1.0,False
C00056,True,False,,False
C00057,True,True,0.0,False
C00058,True,True,0.0,False
C00059,True,False,,False
C00060,True,False,,False
C00061,True,True,0.0,True
C00062,True,True,1.0,False
C00063,True,False,,False
C00064,True,True,-1.0,False
C00065,True,True,0.0,False
C00066,True,False,,False
C00067,True,False,,False
C00068,True,True,1.0,True
C00069,True,False,,False
C00070,True,True,-1.0,True
C00071,True,True,0.0,False
C00072,True,False,,False
C00073,True,True,0.0,False
C00074,True,True,0.0,True
C00075,True,False,,False
C00076,True,True,-1.0,False
C00077,True,True,-1.0,False
C00078,True,True,1.0,False
C00079,True,True,0.0,True
C00080,True,True,1.0,True
C00081,True,True,0.0,False
C00082,True,True,-1.0,False
C00083,True,True,1.0,False
C00084,True,True,0.0,True
C00085,True,True,1.0,True
C00086,True,True,1.0,False
C00087,True,False,,False
C00088,True,True,-1.0,False
C00089,True,True,0.0,False
C00090,True,True,-1.0,False
C00091,True,True,-1.0,False
C00092,True,True,-1.0,False
C00093,True,True,-1.0,False
C00094,True,False,,False
C00095,True,True,-1.0,False
C00096,True,True,0.0,False
C00097,True,True,0.0,False
C00098,True,True,-1.0,False
C00099,True,True,1.0,False
C00100,True,False,,False
C00101,True,True,-1.0,False
C00102,True,False,,False
C00103,True,False,,False
C00104,True,False,,False
C00105,True,True,-1.0,False
