ncb,hy,stock_eur_m,portfolio_yield_pct,ref_pct,carry_eur_m_pa,carry_per_keypp_eur_m_pa,carry_per_keypp_demeaned,approx_share
AT,2015H1,2759.333333333333,0.28042663651000027,0.05,7.459855126381646,2.52320484572354,-3.9037491083127938,1.0
AT,2015H2,8419.703703703703,0.5535807397658697,0.05000000000000001,42.82007994379086,14.4833688292883,-9.974701436994971,1.0
AT,2016H1,16066.666666666666,0.5074621368600626,0.020698924731182785,77.46664802709607,26.202147142599717,-17.74686797647733,1.0
AT,2016H2,25660.148148148146,0.3710477369322338,0.0,94.73381762541942,32.0425562744527,-26.381056855941868,1.0
AT,2017H1,35178.962962962956,0.3801934194468563,0.0,133.96938162494345,45.31350638421899,-29.788394605566253,1.0
AT,2017H2,43116.88888888888,0.40674131403355873,0.0,175.43211634597787,59.33776977709382,-28.879329491684302,1.0
AT,2018H1,47979.851851851854,0.42329386793556806,0.0,203.1603540550882,68.71650737530463,-27.633035016614414,1.0
AT,2018H2,50925.48148148148,0.4327813142337042,0.0,220.39772085046442,74.54683607321644,-29.37693799830264,1.0
AT,2019H1,52035.1111111111,0.42191769970068466,0.0,219.5440529951976,74.25809335200324,-33.43913204977087,1.0
AT,2019H2,52174.81481481481,0.38130832294183953,0.0,198.89444801443415,67.27361678147611,-35.19151364197564,1.0
AT,2020H1,58044.88888888888,0.2905977920300625,0.0,166.95576953186313,56.47074903834369,-39.70994719286403,1.0
AT,2020H2,72058.37037037036,0.15455274711314895,0.0,109.85247866320223,37.156258637984855,-52.90413342749928,1.0
AT,2021H1,85195.7037037037,0.05777984802870028,0.0,48.737025473865025,16.484703356626085,-61.969611674779145,1.0
AT,2021H2,97309.33333333333,0.016101378113544534,0.0,15.476220012402484,5.234642317741411,-67.98178622629513,1.0
AT,2022H1,105820.88888888888,0.05238244770707661,0.0,56.15213220195017,18.992772603399345,-68.54630315748824,1.0
AT,2022H2,107384.29629629629,0.18529291162878167,1.1513440860215052,-1026.9656473595126,-347.3585818905843,-169.9478799422677,1.0
AT,2023H1,107511.4074074074,0.3983212793616731,3.257840501792115,-3076.0846938536392,-1040.4480615097712,-353.0839772487723,1.0
AT,2023H2,102783.55555555556,0.5633344483430259,4.347267025089606,-3887.014145923705,-1314.7350400553712,-401.48523921579425,1.0
AT,2024H1,101904.44444444444,0.7318040626626857,4.473611111111111,-3812.4569318527847,-1289.5169733985404,-397.70935176260764,1.0
AT,2024H2,96377.18518518517,0.8629462838052838,3.7924193548387097,-2832.8682334293226,-958.1830655942236,-290.63341200477566,1.0
AT,2025H1,92102.81481481482,0.9665706840768263,2.5235151049667177,-1438.7390982663637,-486.63592026597786,-166.42350440117582,1.0
AT,2025H2,87805.18518518518,1.0680225598333803,2.0,-818.8273140527691,-276.95833385853854,-110.89065238242995,1.0
AT,2026H1,82413.62962962962,1.1691737371157747,2.0194444444444444,-700.8901512920755,-239.89942199208497,-95.17894217632603,1.0
AT,2026H2,79545.77777777777,1.2311764397550378,2.25,-810.4311251801015,-277.3929097686547,-104.41330487846336,1.0
BE,2015H1,3482.4444444444443,0.4931987138416948,0.05,17.17187071531252,4.679621396733212,-1.7473325573031213,1.0
BE,2015H2,10581.925925925925,0.7649274824767239,0.05000000000000001,75.93329375159176,20.693089999071198,-3.764980267212072,1.0
BE,2016H1,20232.888888888887,0.7344910456466279,0.020698924731182785,143.87358249484362,39.2079527169488,-4.741062402128247,1.0
BE,2016H2,32340.44444444444,0.5784231422683996,0.0,186.1086098854461,50.71770265307157,-7.705910477322998,1.0
BE,2017H1,44289.03703703703,0.5987009742710702,0.0,265.7553981311781,72.42278188613656,-2.6791191036486808,1.0
BE,2017H2,54290.81481481481,0.6340933174750297,0.0,344.3023721542659,93.82814338581984,5.611044117041743,1.0
BE,2018H1,60499.7037037037,0.6439436402553971,0.0,389.64938842283544,106.18596223540958,9.836419843490516,1.0
BE,2018H2,64223.40740740741,0.65312357155859,0.0,419.47131225975016,114.31293425800523,10.389160186486144,1.0
BE,2019H1,65389.62962962963,0.6510821482141763,0.0,425.73781511425085,116.0206608841125,8.32343548233839,1.0
