ncb,hy,stock_eur_m,portfolio_yield_pct,ref_pct,carry_eur_m_pa,carry_per_keypp_eur_m_pa,carry_per_keypp_demeaned,approx_share
AT,2015H1,2759.333333333333,0.11241729897648817,0.05,2.550621883583042,0.8627166864816649,-3.9388501286348037,1.0
AT,2015H2,8419.703703703703,0.31249952902844147,0.05000000000000001,22.33032117763393,7.552958287716533,-10.85690607152295,1.0
AT,2016H1,16066.666666666666,0.2503554985868725,0.020698924731182785,36.23669611035364,12.256619688940853,-20.013208820759854,1.0
AT,2016H2,25660.148148148146,0.12774371901744255,0.0,32.315094432171115,10.930185838718456,-30.923053055961187,1.0
AT,2017H1,35178.962962962956,0.11949930103485307,0.0,42.11680584799635,14.245494959579352,-37.937826504211294,1.0
AT,2017H2,43116.88888888888,0.13265540404835097,0.0,57.19559053297079,19.34570963401684,-40.536615664838266,1.0
AT,2018H1,47979.851851851854,0.1457063980536464,0.0,69.97512241562482,23.66823014227121,-40.80022323546286,1.0
AT,2018H2,50925.48148148148,0.15690530988569093,0.0,79.91121229466228,27.028991136364713,-42.88804814001079,1.0
AT,2019H1,52035.1111111111,0.15027014692929758,0.0,78.19235254235305,26.447607827618143,-46.85364839639573,1.0
AT,2019H2,52174.81481481481,0.11849215746991042,0.0,61.78319048409751,20.89740926233638,-47.906304309923705,1.0
AT,2020H1,58045.16840740741,0.05216393890084386,0.0,29.056725685198618,9.828082423540883,-54.156133836826434,1.0
AT,2020H2,72059.99287037036,-0.05183267492538262,0.0,-38.58233163008634,-13.050002242545693,-70.69997558052192,1.0
AT,2021H1,85198.54255555556,-0.13027864395936778,0.0,-111.39513340509528,-37.67804275497895,-81.54392063178187,1.0
AT,2021H2,97313.4997037037,-0.16349084234179467,0.0,-159.2369786449434,-53.85996233551273,-88.54280305815583,1.0
AT,2022H1,105825.74472222221,-0.11926589597331995,0.0,-125.45547644978474,-42.43378198876534,-89.46168613966817,1.0
AT,2022H2,107389.1865,0.017810075233568954,1.1513440860215052,-1206.8857075672804,-408.21434384146124,-190.37989145455404,1.0
AT,2023H1,107516.36157407408,0.24297809411717608,3.257840501792115,-3243.224108244271,-1096.9809261776666,-371.61111183502,1.0
AT,2023H2,102788.39238888888,0.4177038150119741,4.347267025089606,-4036.9235309612463,-1365.4400578255527,-417.20768776051324,1.0
AT,2024H1,101909.39172222222,0.5966051574935737,4.473611111111111,-3950.3966610623193,-1336.1734013402058,-411.9846285584801,1.0
AT,2024H2,96381.87577777776,0.7349098481104753,3.7924193548387097,-2956.4209012403103,-999.9732458110302,-302.509151290793,1.0
AT,2025H1,92107.2855925926,0.8383168325878034,2.5235151049667177,-1556.9279768584026,-526.6118643187561,-177.5892187401138,1.0
AT,2025H2,87809.42761111112,0.9359468878324453,2.0,-934.8252433080398,-316.193216069014,-122.05696466313755,1.0
AT,2026H1,82417.61518518518,1.034858927668991,2.0194444444444444,-811.6222388198083,-277.80060200568465,-105.70190468269065,1.0
AT,2026H2,79549.60688888888,1.097203694246954,2.25,-917.0449294561818,-313.8844911884521,-114.73129647482045,1.0
BE,2015H1,3482.4444444444443,0.3133483969937158,0.05,10.588214052737197,2.8854650641060626,-1.9161017510104053,1.0
BE,2015H2,10581.925925925925,0.5100857662753316,0.05000000000000001,48.66198161167872,13.261202237819518,-5.148662121419965,1.0
BE,2016H1,20232.888888888887,0.4572327477633836,0.020698924731182785,87.83344014771716,23.936078525062587,-8.333749984638118,1.0
BE,2016H2,32340.44444444444,0.3151834730147473,0.0,101.00559561278682,27.525710754268108,-14.327528140411532,1.0
BE,2017H1,44289.03703703703,0.31833022185319104,0.0,141.40658552154943,38.53565486348261,-13.647666600308035,1.0
BE,2017H2,54290.81481481481,0.34059521235804474,0.0,184.88214864252373,50.38347149271666,-9.498853806138452,1.0
BE,2018H1,60499.7037037037,0.3473251037597907,0.0,210.20111967034188,57.28331371313309,-7.185139664600971,1.0
BE,2018H2,64223.40740740741,0.35922125354426776,0.0,230.72518623745054,62.8764644331518,-7.040574843223697,1.0
BE,2019H1,65389.62962962963,0.36136709851868526,0.0,236.29467244275043,64.39424238799576,-8.907013836018116,1.0
BE,2019H2,65559.11111111111,0.3290080777455407,0.0,215.65451745209165,58.76945563485261,-10.034257937407473,1.0
BE,2020H1,73625.25605555555,0.24446925254648152,0.0,177.56704447477125,48.389983505864905,-15.594232754502416,1.0
BE,2020H2,92297.01957407407,0.0961284808554735,0.0,87.20736181535112,23.765461729214095,-33.88451160876214,1.0
BE,2021H1,107394.53201851853,-0.010713400365272524,0.0,-12.395300340673131,-3.377926240815679,-47.2438041176186,1.0
BE,2021H2,122476.059,-0.06293950739596726,0.0,-77.39465399236889,-21.091335057192776,-55.77417577983588,1.0
BE,2022H1,132740.63724074073,-0.029846251463543732,0.0,-38.91282788384918,-10.604395117549853,-57.63229926845267,1.0
BE,2022H2,134400.3864259259,0.11288386368446611,1.1513440860215052,-1390.5359760396998,-378.9442638069764,-161.10981142006912,1.0
BE,2023H1,134585.6739074074,0.3224552922555746,3.257840501792115,-3951.1189129081426,-1076.745854451054,-351.37604010840755,1.0
BE,2023H2,131802.99855555556,0.5149740418619588,4.347267025089606,-5049.550686037035,-1376.086847264487,-427.8544771994477,1.0
BE,2024H1,131079.55942592592,0.708573840540024,4.473611111111111,-4936.547407904362,-1345.2915677624644,-421.10279498073845,1.0
BE,2024H2,125191.37087037036,0.8588212155549142,3.7924193548387097,-3680.623020673282,-1003.0312087950082,-305.5671142747711,1.0
BE,2025H1,121727.94681481482,0.9896322706792752,2.5235151049667177,-1874.231836300349,-510.75945940873385,-161.7368138300916,1.0
BE,2025H2,114350.5281111111,1.1063881248388332,2.0,-1021.8498985103971,-278.4711537022475,-84.33490229637106,1.0
BE,2026H1,110208.69268518519,1.2304150380314942,2.0194444444444444,-869.0550147396907,-239.6665879980394,-67.56789067504535,1.0
BE,2026H2,102849.53333333333,1.3116863960353657,2.25,-965.0511628808079,-266.14025064968087,-66.98705593604922,1.0
CY,2015H2,155.85185185185185,2.888551661765368,0.05000000000000001,4.477575060809198,20.315676319460977,1.9058119602214936,1.0
CY,2016H1,243.85185185185182,3.0014076318773752,0.020698924731182785,7.266809762583544,32.971006182320984,0.701177672620279,1.0
CY,2016H2,226.66666666666666,3.0177004522284814,0.0,6.840292445202805,31.035809642480967,-10.817429252198677,1.0
CY,2017H1,215.4074074074074,2.9698845864619337,0.0,6.398533334575045,29.031457960866806,-23.151863502923835,1.0
CY,2017H2,189.6296296296296,2.8426417723009725,0.0,5.390686801782201,24.45865155073594,-35.423673748119164,1.0
CY,2018H1,189.33333333333334,2.6160122028519015,0.0,4.9529831040662655,22.472700109193585,-41.99575326854048,1.0
CY,2018H2,323.99999999999994,2.2187471361549305,0.0,6.793997504088186,30.825760000400123,-39.09127927597538,1.0
CY,2019H1,829.1851851851852,1.6877004222607814,0.0,13.802986459140138,62.626980304628596,-10.67427591938528,1.0
CY,2019H2,1441.1851851851852,1.129417949470372,0.0,16.031908154977717,72.74005514962668,3.936341577366593,1.0
CY,2020H1,2229.5091296296296,1.0093179512825718,0.0,22.81410882124472,103.5122904775169,39.52807421714957,1.0
CY,2020H2,3753.6225,0.9922027641033808,0.0,36.96385985032193,167.712612751007,110.06263941303075,1.0
CY,2021H1,4880.066592592592,0.7846300497250386,0.0,38.19803858874275,173.31233479465857,129.44645691785567,1.0
CY,2021H2,5628.407481481481,0.6694516062350003,0.0,37.638554249706665,170.7738396084695,136.09099888582637,1.0
CY,2022H1,6076.875907407408,0.704223686085088,0.0,42.78933718095652,194.1439980987138,147.11609394781098,1.0
CY,2022H2,6124.868333333333,0.9255126281594785,1.1513440860215052,-14.332927357166122,-65.03143084013666,152.80302154677057,1.0
