ncb,hy,stock_eur_m,portfolio_yield_pct,ref_pct,carry_eur_m_pa,carry_per_keypp_eur_m_pa,carry_per_keypp_demeaned,approx_share
AT,2015H1,2759.333333333333,0.28042663651000027,0.05,7.459855126381646,2.52320484572354,-3.9037491083127938,1.0
AT,2015H2,8419.703703703703,0.5535807397658697,0.05000000000000001,42.82007994379086,14.4833688292883,-9.974701436994971,1.0
AT,2016H1,16066.666666666666,0.5074621368600626,0.020698924731182785,77.46664802709607,26.202147142599717,-17.74686797647733,1.0
AT,2016H2,25660.148148148146,0.3710477369322338,0.0,94.73381762541942,32.0425562744527,-26.381056855941868,1.0
AT,2017H1,35178.962962962956,0.3801934194468563,0.0,133.96938162494345,45.31350638421899,-29.788394605566253,1.0
AT,2017H2,43116.88888888888,0.40674131403355873,0.0,175.43211634597787,59.33776977709382,-28.879329491684302,1.0
AT,2018H1,47979.851851851854,0.42329386793556806,0.0,203.1603540550882,68.71650737530463,-27.633035016614414,1.0
AT,2018H2,50925.48148148148,0.4327813142337042,0.0,220.39772085046442,74.54683607321644,-29.37693799830264,1.0
AT,2019H1,52035.1111111111,0.42191769970068466,0.0,219.5440529951976,74.25809335200324,-33.43913204977087,1.0
AT,2019H2,52174.81481481481,0.38130832294183953,0.0,198.89444801443415,67.27361678147611,-35.19151364197564,1.0
AT,2020H1,58324.40740740741,0.28890722138929564,0.0,166.5670712299526,56.339276587164754,-40.21687805311581,1.0
AT,2020H2,73680.87037037036,0.1465593814884025,0.0,106.28587994476413,35.9499002011717,-55.01223756111073,1.0
AT,2021H1,88034.55555555555,0.04846501402965733,0.0,42.14835358375897,14.256165595724326,-64.72091496075687,1.0
AT,2021H2,101475.7037037037,0.00758305625724959,0.0,7.481774126820752,2.5306186797973114,-71.26260010689383,1.0
AT,2022H1,110676.7222222222,0.04484841653763774,0.0,50.384492923156536,17.04193909120803,-72.17027585880449,1.0
AT,2022H2,112274.5,0.17697706249826906,1.1513440860215052,-1083.2226445331419,-366.3868237893258,-177.9095908125083,1.0
AT,2023H1,112465.57407407406,0.3907615556643049,3.257840501792115,-3226.339058920556,-1091.2697645596334,-368.4809154975198,1.0
AT,2023H2,107620.38888888889,0.557393120650136,4.347267025089606,-4076.398065114719,-1378.791836669954,-419.08677941576343,1.0
AT,2024H1,106851.7222222222,0.7286996381183725,4.473611111111111,-4000.807381914345,-1353.2242117078795,-415.73400059188924,1.0
AT,2024H2,101067.77777777777,0.8619639571336567,3.7924193548387097,-2971.675238932168,-1005.1328391449916,-303.0191129491065,1.0
AT,2025H1,96573.59259259258,0.9658710590116953,2.5235151049667177,-1509.3058449164726,-510.5042600766015,-173.47594541792068,1.0
AT,2025H2,92047.61111111111,1.0674621129781754,2.0,-858.9070007843239,-290.51479816821376,-115.50262548333738,1.0
AT,2026H1,86399.18518518518,1.168710065708199,2.0194444444444444,-735.1862291607935,-251.6382219197678,-99.07369506149236,1.0
AT,2026H2,83374.88888888888,1.230793138865209,2.25,-849.7625880190641,-290.85521221901155,-108.62498362863106,1.0
BE,2015H1,3482.4444444444443,0.4931987138416948,0.05,17.17187071531252,4.679621396733212,-1.7473325573031213,1.0
BE,2015H2,10581.925925925925,0.7649274824767239,0.05000000000000001,75.93329375159176,20.693089999071198,-3.764980267212072,1.0
BE,2016H1,20232.888888888887,0.7344910456466279,0.020698924731182785,143.87358249484362,39.2079527169488,-4.741062402128247,1.0
BE,2016H2,32340.44444444444,0.5784231422683996,0.0,186.1086098854461,50.71770265307157,-7.705910477322998,1.0
BE,2017H1,44289.03703703703,0.5987009742710702,0.0,265.7553981311781,72.42278188613656,-2.6791191036486808,1.0
BE,2017H2,54290.81481481481,0.6340933174750297,0.0,344.3023721542659,93.82814338581984,5.611044117041743,1.0
BE,2018H1,60499.7037037037,0.6439436402553971,0.0,389.64938842283544,106.18596223540958,9.836419843490516,1.0
BE,2018H2,64223.40740740741,0.65312357155859,0.0,419.47131225975016,114.31293425800523,10.389160186486144,1.0
BE,2019H1,65389.62962962963,0.6510821482141763,0.0,425.73781511425085,116.0206608841125,8.32343548233839,1.0
