ncb,month,stock_eur_m,approx_share,portfolio_yield_pct,ref_pct,carry_eur_m_pa,key_share,carry_per_keypp_eur_m_pa,carry_per_keypp_demeaned
AT,2015-03-01,1080.888888888889,1.0,0.20885779734735382,0.05,1.7170762806611757,0.029565,0.5807800712535686,-1.176114840690286
AT,2015-04-01,2152.0,1.0,0.1861394033194371,0.05,2.929719959434286,0.029565,0.9909419784996739,-2.816912459561327
AT,2015-05-01,3320.0,1.0,0.29848985573580056,0.05,8.249863210428579,0.029565,2.79041542717016,-4.838920885547697
AT,2015-06-01,4484.444444444444,1.0,0.42113851593261453,0.05,16.64350055893369,0.029565,5.629460699791541,-6.776040414089732
AT,2015-07-01,5696.0,1.0,0.5008447336110917,0.05,25.680116026487784,0.029565,8.685985464734578,-7.553951838706659
AT,2015-08-01,6641.777777777777,1.0,0.5282511538201528,0.05,31.764378856392725,0.029565,10.743913024316836,-8.306961394450077
AT,2015-09-01,7778.666666666666,1.0,0.554874285161746,0.05,39.27248772844834,0.029565,13.283439109909805,-9.162782799794153
AT,2015-10-01,8955.555555555555,1.0,0.560062461026435,0.05,45.678927065256275,0.029565,15.45033893632886,-10.63041613396039
AT,2015-11-01,10209.777777777777,1.0,0.5622616937430114,0.05,52.300780571842026,0.029565,17.69009997356402,-12.158156842329213
AT,2015-12-01,11236.444444444443,1.0,0.5709937439250317,0.05,58.541172595167325,0.029565,19.800836325103102,-12.468205689308657
AT,2016-01-01,12434.666666666666,1.0,0.5684455236221353,0.05,64.46697271066711,0.029565,21.805165807768343,-13.598511885712501
AT,2016-02-01,13642.666666666666,1.0,0.5481629366185553,0.05,67.96270889974744,0.029565,22.987555859884132,-15.189661627643488
AT,2016-03-01,14845.333333333332,1.0,0.525669195248465,0.0241935483870967,74.44573136205965,0.029565,25.18035899274806,-16.51483563196711
AT,2016-04-01,16676.444444444445,1.0,0.4933819716574491,0.0,82.27857040235915,0.029565,27.82972108992361,-18.367648140002288
AT,2016-05-01,18578.666666666664,1.0,0.4657113722721999,0.0,86.5229634832111,0.029565,29.26533518796249,-20.56782109865355
AT,2016-06-01,20222.222222222223,1.0,0.4462602640051052,0.0,90.24374227658795,0.029565,30.523843151222035,-22.524054617981133
AT,2016-07-01,21891.555555555555,1.0,0.4183256235983296,0.0,91.57798629315253,0.029565,30.975134886911054,-23.871162323389004
AT,2016-08-01,23095.11111111111,1.0,0.3986900609202801,0.0,92.07791255849526,0.029565,31.14422883764426,-24.82755453048544
AT,2016-09-01,24769.777777777777,1.0,0.3773887754674316,0.0,93.47836104155955,0.029565,31.617913425185034,-25.921543854055894
AT,2016-10-01,26511.11111111111,1.0,0.3643883169559579,0.0,96.60339158410171,0.029565,32.67491682195221,-26.989007346699097
AT,2016-11-01,28182.22222222222,1.0,0.3673012834115038,0.0,103.51366391610424,0.029565,35.01223200274116,-27.97069708633542
AT,2016-12-01,29511.11111111111,1.0,0.370141148638925,0.0,109.23276564277609,0.029565,36.94664828099986,-28.55589293588232
AT,2017-01-01,31262.22222222222,1.0,0.37552307308703536,0.0,117.39685760418695,0.029565,39.70805263121493,-28.889960813642354
AT,2017-02-01,32940.444444444445,1.0,0.38120980159498846,0.0,125.57220291117406,0.029565,42.473263288068345,-29.556420417368763
AT,2017-03-01,34680.88888888889,1.0,0.3868982909714987,0.0,134.1797664048355,0.029565,45.384666465359544,-30.077452588520458
