ncb,month,stock_eur_m,approx_share,portfolio_yield_pct,ref_pct,carry_eur_m_pa,key_share,carry_per_keypp_eur_m_pa,carry_per_keypp_demeaned
AT,2015-03-01,1080.888888888889,1.0,0.056997268543302615,0.05,0.07563269821027535,0.029565,0.025581836025799203,-1.2212553574942486
AT,2015-04-01,2152.0,1.0,0.04349305538386626,0.05,-0.14002944813919813,0.029565,-0.04736324983568345,-2.8499525608313268
AT,2015-05-01,3320.0,1.0,0.12667116917932852,0.05,2.545482816753707,0.029565,0.8609784599200768,-4.861637244483182
AT,2015-06-01,4484.444444444444,1.0,0.2171999963084466,0.05,7.4979909455654505,0.029565,2.536103820586995,-6.81364661174354
AT,2015-07-01,5696.0,1.0,0.2766056340124669,0.05,12.907456913350115,0.029565,4.365789586791854,-7.986727181882754
AT,2015-08-01,6641.777777777777,1.0,0.2976687489275634,0.05,16.449607928771144,0.029565,5.563878886782054,-8.867109919457295
AT,2015-09-01,7778.666666666666,1.0,0.31761580423971897,0.05,20.81694135912694,0.029565,7.0410760558521694,-9.886523692147371
AT,2015-10-01,8955.555555555555,1.0,0.3191289654292954,0.05,24.101994015112453,0.029565,8.152204977206985,-11.55284832346808
AT,2015-11-01,10209.777777777777,1.0,0.3145328786323054,0.05,27.008219057516975,0.029565,9.13520008710197,-13.321331168140093
AT,2015-12-01,11236.444444444443,1.0,0.31797030527267156,0.05,30.11033447957192,0.029565,10.184452724360535,-13.903981230199713
AT,2016-01-01,12434.666666666666,1.0,0.3111659834515152,0.05,32.47511948891774,0.029565,10.984312358842462,-15.173972147522665
AT,2016-02-01,13642.666666666666,1.0,0.29100212791016766,0.05,32.879116970357806,0.029565,11.120959570559041,-16.950447862382816
AT,2016-03-01,14845.333333333332,1.0,0.2687505959319785,0.0241935483870967,36.30530889819618,0.029565,12.279827126059928,-18.424908302058157
AT,2016-04-01,16676.444444444445,1.0,0.23779272712572538,0.0,39.65537203205097,0.029565,13.41294504720141,-20.703813779004527
AT,2016-05-01,18578.666666666664,1.0,0.21176097162046825,0.0,39.34236504746139,0.029565,13.3070742592462,-23.34677638742867
AT,2016-06-01,20222.222222222223,1.0,0.19595245089594424,0.0,39.62594007006872,0.029565,13.402990045685344,-25.608276177464248
AT,2016-07-01,21891.555555555555,1.0,0.17196356680231825,0.0,37.64549976184439,0.029565,12.733130310111411,-27.36832127034407
AT,2016-08-01,23095.11111111111,1.0,0.15511509089378447,0.0,35.82400259202051,0.029565,12.117031149000681,-28.612919982891455
AT,2016-09-01,24769.777777777777,1.0,0.13573335397052286,0.0,33.62085014882302,0.029565,11.371841755055984,-30.183214159053094
AT,2016-10-01,26511.11111111111,1.0,0.12364961901647564,0.0,32.78088788592343,0.029565,11.087734782994563,-31.712831626053177
AT,2016-11-01,28182.22222222222,1.0,0.1251934424373612,0.0,35.28229415534699,0.029565,11.933804889344492,-33.09609923306742
AT,2016-12-01,29511.11111111111,1.0,0.124757272042424,0.0,36.81725717163091,0.029565,12.452987374135263,-34.11469124050173
AT,2017-01-01,31262.22222222222,1.0,0.1257643444570345,0.0,39.316728840479136,0.029565,13.29840312547916,-35.2097344586393
AT,2017-02-01,32940.444444444445,1.0,0.12674137901213375,0.0,41.74917354161469,0.029565,14.121147823986027,-36.596201062485214
AT,2017-03-01,34680.88888888889,1.0,0.1286056394303097,0.0,44.601578915670785,0.029565,15.085939088676064,-37.88774842468683
AT,2017-04-01,36069.33333333333,1.0,0.12706776409249898,0.0,45.8324953897371,0.029565,15.502281545657736,-39.026623668793285
AT,2017-05-01,37397.33333333333,1.0,0.13087987522352568,0.0,48.94558320359263,0.029565,16.55524546037295,-39.393460944252695
AT,2017-06-01,38723.555555555555,1.0,0.13130572570379148,0.0,50.84624564053309,0.029565,17.198121305778145,-39.73570428164319
AT,2017-07-01,40078.22222222222,1.0,0.13679363809160194,0.0,54.82445826021465,0.029565,18.543703115242565,-40.0174970167114
AT,2017-08-01,41165.33333333333,1.0,0.13781172994173194,0.0,56.73065800294708,0.029565,19.188451886672443,-40.50622661820631
AT,2017-09-01,42468.444444444445,1.0,0.13811121341729016,0.0,58.65368394166997,0.029565,19.8388919132995,-41.06795666033165
AT,2017-10-01,43758.22222222222,1.0,0.13882153652983445,0.0,60.74583644702835,0.029565,20.546536934560578,-41.50980136545174
AT,2017-11-01,45043.555555555555,1.0,0.13709207466638265,0.0,61.75114481461577,0.029565,20.886570206195085,-41.95503954191268
AT,2017-12-01,46187.555555555555,1.0,0.13600606381953248,0.0,62.81787628557091,0.029565,21.24737909202466,-42.44975998629645
AT,2018-01-01,46675.555555555555,1.0,0.13731450249305063,0.0,64.09230689697856,0.029565,21.67843967426976,-42.66058069285467
AT,2018-02-01,47194.666666666664,1.0,0.14041911335913643,0.0,66.27033248613324,0.029565,22.415130216855484,-42.76176236446942
AT,2018-03-01,47685.33333333333,1.0,0.14312127992378815,0.0,68.24785940259144,0.029565,23.084004533262792,-42.912322545323626
AT,2018-04-01,48246.22222222222,1.0,0.14553454368328664,0.0,70.21491935553554,0.029565,23.749338527155604,-43.017111884239256
AT,2018-05-01,48758.22222222222,1.0,0.14742911596773584,0.0,71.88381598380634,0.029565,24.313822419687583,-43.297211084032654
AT,2018-06-01,49319.11111111111,1.0,0.14871873743249883,0.0,73.34675935737569,0.029565,24.808645140326632,-43.78739907595251
AT,2018-07-01,49896.0,1.0,0.14897324911365337,0.0,74.33169237774848,0.029565,25.141786699728897,-44.228878006474176
AT,2018-08-01,50403.555555555555,1.0,0.14918108743136857,0.0,75.19257228185177,0.029565,25.432968808338156,-44.72405908519791
AT,2018-09-01,50941.33333333333,1.0,0.15005991169275584,0.0,76.44251981511239,0.029565,25.855748288554842,-45.1325022897719
AT,2018-10-01,51193.777777777774,1.0,0.15050096736508928,0.0,77.04713078628966,0.029565,26.060250561910927,-46.07666107435036
AT,2018-11-01,51394.666666666664,1.0,0.15054068338928356,0.0,77.36988242564432,0.029565,26.16941736027205,-46.89034086298787
