month,ncb,programme,stock_eur_m,gross_purchases_eur_m,purchase_yield_pct,portfolio_yield_pct,yield_method
2020-03-01,AT,PEPP,348.0,348.0,-0.25715043537116244,-0.25715043537116244,single_maturity_ea_slope
2020-04-01,AT,PEPP,2017.0,1672.918918918919,-0.17600392081915833,-0.1898467470229339,single_maturity_ea_slope
2020-05-01,AT,PEPP,4914.0,2915.8223217618515,-0.2760893422581591,-0.241020553346406,single_maturity_ea_slope
2020-06-01,AT,PEPP,7815.0,2947.3759909399773,-0.31181177397751814,-0.2677189978835109,single_maturity_ea_slope
2020-07-01,AT,PEPP,10056.0,2306.05994005994,-0.3715328288756472,-0.29152577163799764,single_maturity_ea_slope
2020-08-01,AT,PEPP,11639.0,1659.8102658111825,-0.3688410367082462,-0.30255151875265623,single_maturity_ea_slope
2020-09-01,AT,PEPP,13614.0,2063.738944800244,-0.4082577500534038,-0.3185754695564917,single_maturity_ea_slope
2020-10-01,AT,PEPP,15590.0,2080.465930018416,-0.4853335792002613,-0.34082912995855313,single_maturity_ea_slope
2020-11-01,AT,PEPP,17567.0,2095.8624580664837,-0.4920613059310318,-0.3588721560912122,single_maturity_ea_slope
2020-12-01,AT,PEPP,19149.0,1722.62600064041,-0.5123804536886877,-0.3726816179302355,single_maturity_ea_slope
2021-01-01,AT,PEPP,20692.0,1702.097706879362,-0.5039554222049643,-0.3834800347690789,single_maturity_ea_slope
2021-02-01,AT,PEPP,22275.0,1756.8239247311828,-0.34079247632757914,-0.3801132772400828,single_maturity_ea_slope
2021-03-01,AT,PEPP,24225.0,2140.972222222222,-0.2702035686314134,-0.3703996081757402,single_maturity_ea_slope
2021-04-01,AT,PEPP,26521.0,2505.8492723492723,-0.2421553797730696,-0.3582823913880691,single_maturity_ea_slope
2021-05-01,AT,PEPP,28730.0,2443.1189971751414,-0.15202487306011397,-0.34074282781907406,single_maturity_ea_slope
