month,ncb,programme,stock_eur_m,gross_purchases_eur_m,purchase_yield_pct,portfolio_yield_pct,yield_method
2020-03-01,AT,PEPP,309.372,309.372,-0.15394074822663562,-0.15394074822663562,single_maturity_ea_slope
2020-04-01,AT,PEPP,1793.113,1483.741,-0.08313742104743416,-0.09535336445762856,single_maturity_ea_slope
2020-05-01,AT,PEPP,4368.546,2575.433,-0.15553949736111172,-0.13083550263861976,single_maturity_ea_slope
2020-06-01,AT,PEPP,6947.535,2578.9889999999996,-0.194022639821423,-0.15429115010724576,single_maturity_ea_slope
2020-07-01,AT,PEPP,8939.784,1992.2489999999998,-0.24810879469007435,-0.17519860252471978,single_maturity_ea_slope
2020-08-01,AT,PEPP,10347.071,1407.2870000000003,-0.24411211546778477,-0.18457140869267852,single_maturity_ea_slope
2020-09-01,AT,PEPP,12102.846,1755.7749999999996,-0.28054253695812514,-0.1984940602516808,single_maturity_ea_slope
2020-10-01,AT,PEPP,13859.51,1756.6640000000007,-0.36588350325388497,-0.21971032320051695,single_maturity_ea_slope
2020-11-01,AT,PEPP,15617.063,1757.5529999999999,-0.3779323476042934,-0.23751671827345291,single_maturity_ea_slope
2020-12-01,AT,PEPP,17023.461,1406.3979999999992,-0.4082537956474356,-0.2516222097563314,single_maturity_ea_slope
2021-01-01,AT,PEPP,18395.188000000002,1371.7270000000026,-0.39839571067083074,-0.262567092411999,single_maturity_ea_slope
2021-02-01,AT,PEPP,19802.475,1407.2869999999966,-0.20139663988523684,-0.25821993971391305,single_maturity_ea_slope
2021-03-01,AT,PEPP,21536.025,1733.550000000003,-0.10745313624236003,-0.24608391218988712,single_maturity_ea_slope
2021-04-01,AT,PEPP,23577.169,2041.1440000000002,-0.0683603390713704,-0.23069786626853747,single_maturity_ea_slope
2021-05-01,AT,PEPP,25540.97,1963.8009999999995,0.03574454489258082,-0.21021157019283576,single_maturity_ea_slope
2021-06-01,AT,PEPP,27430.095,1889.125,-0.029900996418152945,-0.19779348659953805,single_maturity_ea_slope
2021-07-01,AT,PEPP,29530.802,2100.7069999999985,-0.19164404573439445,-0.19735603916849662,single_maturity_ea_slope
2021-08-01,AT,PEPP,31106.11,1575.308000000001,-0.2918700304540769,-0.20214251509184752,single_maturity_ea_slope
2021-09-01,AT,PEPP,32823.658,1717.5480000000025,-0.1757775312653379,-0.20076292707514157,single_maturity_ea_slope
2021-10-01,AT,PEPP,34405.189,1581.5309999999954,-0.027028454254063528,-0.19277673480236573,single_maturity_ea_slope
2021-11-01,AT,PEPP,35854.259,1449.0699999999997,-0.10445834165721213,-0.1892072973764006,single_maturity_ea_slope
2021-12-01,AT,PEPP,36290.758,436.49900000000343,-0.13255034664404525,-0.1885258373105149,single_maturity_ea_slope
2022-01-01,AT,PEPP,37578.919,1288.161,0.08667262186884153,-0.17909235886546065,single_maturity_ea_slope
2022-02-01,AT,PEPP,38396.799,817.8799999999974,0.4616662367009088,-0.16544373049563688,single_maturity_ea_slope
2022-03-01,AT,PEPP,39097.331,700.5319999999992,0.6266185424222583,-0.15125184184288668,single_maturity_ea_slope
2022-04-01,AT,PEPP,39149.782,52.45100000000093,1.2183860948508358,-0.14941686663363715,single_maturity_ea_slope
2022-05-01,AT,PEPP,39364.031,214.24900000000343,1.4524603716442677,-0.14069823219236746,single_maturity_ea_slope
2022-06-01,AT,PEPP,39522.273,158.24199999999837,1.9793780621279435,-0.13220972463699907,single_maturity_ea_slope
2022-07-01,AT,PEPP,39491.158,0.0,1.547276633857493,-0.13220972463699907,single_maturity_ea_slope
2022-08-01,AT,PEPP,39628.064,136.9059999999954,1.5476960088403662,-0.12640603020601587,single_maturity_ea_slope
2022-09-01,AT,PEPP,39221.791,0.0,2.3910348988114576,-0.12640603020601587,single_maturity_ea_slope
