passages_per_gov_halfyear,beta,power,mean_beta_hat,sd_beta_hat,expected_passages_total
0.25,0.0,0.04,-0.01361010847428686,0.392254521489398,110.0
0.25,0.1,0.056,0.11090208761410109,0.3631080399518734,110.0
0.25,0.2,0.064,0.21128132607746214,0.3369386156176696,110.0
0.25,0.3,0.116,0.29939821934764466,0.3903325723939773,110.0
0.25,0.45,0.212,0.46617920521565986,0.37738348280574613,110.0
0.25,0.6,0.252,0.614882102558925,0.35167357467581467,110.0
0.5,0.0,0.04,-0.0029352475512243073,0.22518442243555237,220.0
0.5,0.1,0.1,0.10599375930031067,0.23995425648571903,220.0
0.5,0.2,0.148,0.19105390124302818,0.2372996989881902,220.0
0.5,0.3,0.224,0.2963338685505328,0.22592558574509905,220.0
0.5,0.45,0.464,0.44812558196068575,0.22187296992757943,220.0
0.5,0.6,0.688,0.5938043386706258,0.2368355779026291,220.0
1.0,0.0,0.04,0.01247506590783829,0.1556737961716808,440.0
1.0,0.1,0.096,0.10652461490902825,0.15250696363138103,440.0
1.0,0.2,0.24,0.2089157484416634,0.15859119548770834,440.0
1.0,0.3,0.488,0.3007226663378412,0.15387585033325885,440.0
1.0,0.45,0.828,0.4495373424055486,0.14798543648788826,440.0
1.0,0.6,0.952,0.6048633733978627,0.16019923949717113,440.0
2.0,0.0,0.056,-0.010510585785657387,0.10963359632430363,880.0
2.0,0.1,0.176,0.10637548384883616,0.10522762394320143,880.0
2.0,0.2,0.46,0.20505863576180758,0.10547259327688252,880.0
2.0,0.3,0.72,0.28799462722464414,0.1169024349791632,880.0
2.0,0.45,0.988,0.44109838070101115,0.10315925654455489,880.0
2.0,0.6,1.0,0.5979406357170935,0.10639138583791366,880.0
4.0,0.0,0.064,-0.01241305460859878,0.07891438164205175,1760.0
4.0,0.1,0.196,0.09502427753115184,0.07333060535554517,1760.0
4.0,0.2,0.652,0.19280443916491785,0.0815072062589257,1760.0
4.0,0.3,0.924,0.29799254251752444,0.0762128629449851,1760.0
4.0,0.45,1.0,0.45151825255471456,0.08136603378239098,1760.0
4.0,0.6,1.0,0.597614878354523,0.07929161834678604,1760.0
