passages_per_gov_halfyear,beta,power,mean_beta_hat,sd_beta_hat,expected_passages_total
0.5,0.0,0.02666666666666667,0.006113191531457725,0.22009107234218278,220.0
0.5,0.2,0.08,0.1892174480406069,0.2051386835158798,220.0
0.5,0.3,0.25333333333333335,0.3013309499400567,0.2436896434835084,220.0
0.5,0.45,0.49333333333333335,0.4420988336599273,0.24474853993248546,220.0
1.0,0.0,0.06666666666666667,-0.00343080809233685,0.15201730425712237,440.0
1.0,0.2,0.2733333333333333,0.207974897892701,0.1481490335490093,440.0
1.0,0.3,0.52,0.28443280481966277,0.15309734420629065,440.0
1.0,0.45,0.84,0.44943223864487586,0.13136845986804616,440.0
2.0,0.0,0.06,0.008091270358615704,0.1087087746185879,880.0
2.0,0.2,0.4533333333333333,0.19770481880112303,0.092975138790291,880.0
2.0,0.3,0.7933333333333333,0.30022677984187957,0.10776839112528405,880.0
2.0,0.45,0.9733333333333334,0.46398373104990726,0.10928000557903118,880.0
