f,beta,reps,studentized,power,mean_att_or_t,seconds,mode,sigma_u,n_units,note
0.6,0.0,400,False,0.0575,-0.0095490671474652,10.7,binary,,,
0.6,0.0,400,True,0.0625,0.0304634887002583,132.9,binary,,,
0.6,-0.05,400,False,0.0625,-0.0428904427169531,10.5,binary,,,
0.6,-0.1,400,False,0.1,-0.1022939818890716,10.8,binary,,,
0.6,-0.15,400,False,0.145,-0.1476200425372301,10.7,binary,,,
0.6,-0.2,400,False,0.24,-0.1984335213562228,10.4,binary,,,
0.6,-0.3,400,False,0.3775,-0.2937154222892819,10.6,binary,,,
1.0,-0.05,400,False,0.065,-0.0419989711352285,10.7,binary,,,
1.0,-0.1,400,False,0.135,-0.0950423890686232,10.7,binary,,,
1.0,-0.15,400,False,0.1825,-0.1517844235303766,10.6,binary,,,
1.0,-0.2,400,False,0.25,-0.1950460357414792,10.7,binary,,,
1.0,-0.3,400,False,0.5525,-0.3083948755084318,10.6,binary,,,
,-0.2,300,,0.3333333333333333,,7.9,binary,0.1,13.0,
,-0.3,300,,0.6533333333333333,,7.9,binary,0.1,13.0,
,0.0,300,,0.1666666666666666,,0.9,dose,0.2,18.0,"non-studentised RI: oversized (size 0.17) -> INVALID, superseded"
,-0.05,300,,0.37,,0.9,dose,0.2,18.0,"non-studentised RI: oversized (size 0.17) -> INVALID, superseded"
,-0.1,300,,0.71,,0.9,dose,0.2,18.0,"non-studentised RI: oversized (size 0.17) -> INVALID, superseded"
,-0.15,300,,0.8966666666666666,,0.8,dose,0.2,18.0,"non-studentised RI: oversized (size 0.17) -> INVALID, superseded"
,0.0,400,,0.0575,,1.4,dose,0.2,18.0,studentised RI (CR0 t): valid size
,-0.05,400,,0.15,,1.4,dose,0.2,18.0,studentised RI (CR0 t): valid size
,-0.1,400,,0.355,,1.4,dose,0.2,18.0,studentised RI (CR0 t): valid size
,-0.15,400,,0.66,,1.4,dose,0.2,18.0,studentised RI (CR0 t): valid size
,-0.2,400,,0.8275,,1.4,dose,0.2,18.0,studentised RI (CR0 t): valid size
,0.0,300,,0.05,,,binary_extended_2027H2,,,
,-0.2,300,,0.3133333333333333,,,binary_extended_2027H2,,,
,-0.3,300,,0.6033333333333334,,,binary_extended_2027H2,,,
