mode,beta,sigma_u,reps,n_units,power,seconds,controls,jackknife
binary,-0.2,0.1,300,13.0,0.3333333333333333,7.9,,
binary,-0.3,0.1,300,13.0,0.6533333333333333,7.9,,
dose,0.0,0.2,300,18.0,0.16666666666666666,0.9,,
dose,-0.05,0.2,300,18.0,0.37,0.9,,
dose,-0.1,0.2,300,18.0,0.71,0.9,,
dose,-0.15,0.2,300,18.0,0.8966666666666666,0.8,,
dose,0.0,0.2,400,18.0,0.0575,1.4,,
dose,-0.05,0.2,400,18.0,0.15,1.4,,
dose,-0.1,0.2,400,18.0,0.355,1.4,,
dose,-0.15,0.2,400,18.0,0.66,1.4,,
dose,-0.2,0.2,400,18.0,0.8275,1.4,,
binary_extended_2027H2,0.0,,300,,0.05,,,
binary_extended_2027H2,-0.2,,300,,0.31333333333333335,,,
binary_extended_2027H2,-0.3,,300,,0.6033333333333334,,,
dose,0.0,0.2,400,18.0,0.0925,1.2,True,
dose,-0.2,0.2,400,18.0,0.81,1.3,True,
dose,-0.25,0.2,400,18.0,0.9,1.1,True,
dose,0.0,0.2,300,18.0,0.03333333333333333,3.6,True,True
dose,-0.15,0.2,400,18.0,0.3775,5.4,True,True
dose,-0.2,0.2,400,18.0,0.5475,4.6,True,True
dose,-0.25,0.2,400,18.0,0.74,5.1,True,True
dose,-0.3,0.2,400,18.0,0.875,4.8,True,True
dose,0.0,0.2,600,18.0,0.051666666666666666,7.2,True,True
